index,sub_index,title,sub_title,objective,guidance,suggested_evidence,document
6.2,,General,,"b) be measurable (if practicable);
","Define clear metrics for each objective wherever possible (e.g., number of security incidents, completion rate of security awareness training).
Consider qualitative measures where quantitative data is not feasible.
Document the chosen measurement approach for each objective.","Measures have been created for the objectives and are recorded and tracked and managed in the Management Review Team Meeting. The agenda documents the results and meeting minutes are in place for meetings. 

In addition measures for security controls are in place. 

Document: The Information Security Management System describes the information security objectives and the process and roles and responsibilities. It describes for the framework for setting Information Security Objectives. 

The Information Security Objectives.xls sets out the Objectives and includes columns for what will be done, what resources will be required, who will be responsible, when it will be completed and how it will be evaluated.

The Information Security Policy sets out the information security objectives in policy form. 

Document: Communication Plan sets out the communications for the year across media and approaches

Is updated as part of the Continual Improvement policy and process and evidence as signed of by the Management Review Team ",
6.2,,General,,"c) take into account applicable information security requirements, and risk assessment and risk treatment results;
","Conduct a risk assessment to identify information security risks.
Review applicable legal, regulatory, and contractual requirements.
Analyze stakeholder expectations and business needs.
Develop objectives that address identified risks, requirements, and needs.","The objectives  have been created based on the Organisation Overview and Context of Organisation. In addition taking into account the Legal and Contractual Requirements Register and specific client needs. 

Objectives are assessed against the risk assessment process and the risk register with an annual review in place and the opportunity to update them based on significant change or business requirements. ",
6.2,,General,,"d) be monitored
","Define monitoring procedures for each objective, including frequency and responsible parties.
Collect data and track progress towards objective achievement.
Analyze monitoring results and report periodically to management.","The Information Security Policy sets out the information security objectives in policy form. The policy including the objectives is evidenced as communicated and accepted. 

The policy including objectives is available to all staff. 

Document: Communication Plan sets out the communications for the year across media and approaches

Is updated as part of the Continual Improvement policy and process and evidence as signed of by the Management Review Team ",
6.2,,General,,"e) be communicated

","Communicate information security objectives to relevant personnel through various channels (e.g., training, meetings, intranet).
Ensure objectives are understood and supported by key stakeholders.","The Information Security Policy sets out the information security objectives in policy form. The policy including the objectives is evidenced as communicated and accepted. 

The policy including objectives is available to all staff. 

Document: Communication Plan sets out the communications for the year across media and approaches

Is updated as part of the Continual Improvement policy and process and evidence as signed of by the Management Review Team 

Objectives are part of the Management Review team agenda for communication, tracking and oversight.",
6.2,,General,,f) be updated as appropriate,"Regularly review and update information security objectives as needed (e.g., after risk assessments, changes in the organization).
Document changes and the rationale behind them.",Document: The Information Security Management System describes the information security objectives and the process and roles and responsibilities. It describes for the framework for setting and updating Information Security Objectives. ,
6.2,,General,,"g) be available as documented information

The organization shall retain documented information on the information security objectives.","Maintain a documented record of all information security objectives, including their content, metrics, monitoring procedures, and communication plan.
Ensure the documented information is readily accessible and up-to-date.","Document: The Information Security Management System describes the information security objectives and the process and roles and responsibilities. It describes for the framework for setting Information Security Objectives. 

The Information Security Objectives.xls sets out the Objectives and includes columns for what will be done, what resources will be required, who will be responsible, when it will be completed and how it will be evaluated.

The Information Security Policy sets out the information security objectives in policy form. 

Document: Communication Plan sets out the communications for the year across media and approaches

Is updated as part of the Continual Improvement policy and process and evidence as signed of by the Management Review Team ",
6.2,,General," When planning how to achieve its information security objectives, the organisation shall determine;","

h ) what will be done;","Define specific actions or activities required to achieve each objective.
Develop project plans or work instructions for complex activities.","Document: The Information Security Management System describes the information security objectives and the process and roles and responsibilities. It describes for the framework for setting Information Security Objectives. 

The Information Security Objectives.xls sets out the Objectives and includes columns for what will be done, what resources will be required, who will be responsible, when it will be completed and how it will be evaluated.",
6.2,,General,,"i) what resources will be required;
","Identify personnel, financial resources, and other resources needed to achieve each objective.
Allocate resources based on priorities and feasibility.","Document: The Information Security Management System describes the information security objectives and the process and roles and responsibilities. It describes for the framework for setting Information Security Objectives. 

The Information Security Objectives.xls sets out the Objectives and includes columns for what will be done, what resources will be required, who will be responsible, when it will be completed and how it will be evaluated.",
6.2,,General,,"j) who will be responsible;
","Assign clear ownership and responsibility for achieving each objective.
Ensure personnel are aware of their roles and responsibilities.","Document: The Information Security Management System describes the information security objectives and the process and roles and responsibilities. It describes for the framework for setting Information Security Objectives. 

The Information Security Objectives.xls sets out the Objectives and includes columns for what will be done, what resources will be required, who will be responsible, when it will be completed and how it will be evaluated.",
6.2,,General,,"k) when it will be completed; and
","Define deadlines or timelines for achieving each objective.
Set realistic and achievable targets based on resources and complexity.","Document: The Information Security Management System describes the information security objectives and the process and roles and responsibilities. It describes for the framework for setting Information Security Objectives. 

The Information Security Objectives.xls sets out the Objectives and includes columns for what will be done, what resources will be required, who will be responsible, when it will be completed and how it will be evaluated.",
6.2,,General,,"
l) how the results will be evaluated.","Define how the effectiveness of each objective and its associated activities will be evaluated.
Conduct regular reviews and assessments to measure progress and identify improvement opportunities.","Document: The Information Security Management System describes the information security objectives and the process and roles and responsibilities. It describes for the framework for setting Information Security Objectives. 

The Information Security Objectives.xls sets out the Objectives and includes columns for what will be done, what resources will be required, who will be responsible, when it will be completed and how it will be evaluated.",
6.3,,"When the organization determines the need for changes to the information security management system, the changes shall be carried out in a planned manner.",,,"• Robust change management process
• Clear roles and responsibilities
• Effective impact assessment
• Approval and authorization controls
• Proper testing and implementation
• Effective communication and documentation
• Regular review and evaluation","Document: ISMS Management Plan.xls is the plan for the ISMS for the year ahead. Changes are managed via continual improvement process and approved by the Management Review Team

Document: Information Security Management System Document Tracker.xls tracks the changes and status of the ISMS documents",
7,,Support,,,,,
7.1,,Resources,,"The organisation shall determine and provide the resources needed for the establishment, implementation, maintenance and continual improvement of the information security management system.","• Clear and documented resource requirements for the ISMS
• Effective resource planning and budgeting processes
• Prioritization of critical information security needs
• Diversification of resources and vendors
• Regular review and update of resources based on changing risks","Document: Information Security Roles Assigned and Responsibilities sets out the roles and responsibilities with allocated resource. 

There is an Information Security Management System Document Tracker that assigns the resources and ownership for each document in the ISMS

Document: ISMS Annex A Controls - Accountability Matrix - ISO 27002 2022 and 2013 assigns responsibility for each ISO 27002 / Annex A Control",
7.2,,Competence,The organisation shall:,"

a) determine the necessary competence of person(s) doing work under its control that affects its information security performance;
","Identify all roles and responsibilities related to information security within the organization.
Conduct a risk assessment to identify the information security tasks and activities associated with each role.
Define the knowledge, skills, and experience necessary to perform each task competently.
Consider industry standards, best practices, and regulatory requirements when defining competence levels.","Document: Competency Matrix captures the core competencies and training requirements of staff in relation to information security

Document: Information Security Roles Assigned and Responsibilities sets out the roles and responsibilities with allocated resource. 

Document: ISMS Annex A Controls - Accountability Matrix assigns responsibility for each ISO 27002 / Annex A Control",
7.2,,Competence,,"b) ensure that these persons are competent on the basis of appropriate education, training, or experience;
","Review existing employee qualifications and experience against the defined competence requirements.
Identify any gaps in competence and develop training or development plans to address them.
Provide relevant training and awareness programs to all personnel with information security responsibilities.
Encourage employees to pursue relevant certifications and professional development opportunities.","Document: Competency Matrix captures the core competencies and training requirements of staff in relation to information security

Document: Information Security Roles Assigned and Responsibilities sets out the roles and responsibilities with allocated resource. 

Document: ISMS Annex A Controls - Accountability Matrix assigns responsibility for each ISO 27002 / Annex A Control",
7.2,,Competence,,"c) where applicable, take actions to acquire the necessary competence, and evaluate the effectiveness of the actions taken; and
","Implement a process for identifying and addressing competence gaps.
Develop and implement training programs to address identified gaps.
Consider alternative options like mentoring, job shadowing, or hiring qualified personnel when training is not feasible.
Evaluate the effectiveness of the taken actions through performance reviews and skills assessments.","Document: Competency Matrix captures the core competencies and training requirements of staff in relation to information security

Document: Information Security Roles Assigned and Responsibilities sets out the roles and responsibilities with allocated resource. 

Document: ISMS Annex A Controls - Accountability Matrix assigns responsibility for each ISO 27002 / Annex A Control",
7.2,,Competence,,d) retain appropriate documented information as evidence of competence.,"Maintain a centralized repository for all competence-related documentation, including training records, certifications, and skills assessments.
Keep documentation readily available for audit purposes.
Regularly review and update competence documentation as needed.","Document: Competency Matrix captures the core competencies and training requirements of staff in relation to information security

Document: Information Security Roles Assigned and Responsibilities sets out the roles and responsibilities with allocated resource. 

Document: ISMS Annex A Controls - Accountability Matrix assigns responsibility for each ISO 27002 / Annex A Control",
7.3,,Awareness,Persons doing work under the organisation’s control shall be aware of:,"
a) the information security policy;
","Develop and maintain a clear and concise information security policy that is easily accessible to all personnel.
Conduct induction training for new employees that covers the key aspects of the information security policy.
Organize regular awareness campaigns and training sessions to refresh employee knowledge of the policy.
Utilize various awareness methods like posters, newsletters, e-learning modules, and intranet resources.
Encourage employees to ask questions and seek clarification on the policy.","Employment contracts and third party contracts include coverage of information security requirements. 

Document: Competency Matrix captures the core competencies and training requirements of staff in relation to information security

Document: Communication Plan sets out the communications for the year across media and approaches 

Document: Information Security Awareness and Training Policy sets out the training and awareness and evidence was seen of the operation. 

Grievance and disciplinary policy and processes are in place. 

All policies include a statement on non conformance.",
7.3,,Awareness,,"b) their contribution to the effectiveness of the information security management system, including the benefits of improved information security performance; and
","Develop training materials that explain how individual roles and responsibilities contribute to the effectiveness of the ISMS.
Highlight the benefits of improved information security performance, such as reduced risk of data breaches, improved compliance, reputational protection, and enhanced business continuity.
Encourage employees to share examples of how they have implemented security controls effectively.","Employment contracts and third party contracts include coverage of information security requirements. 

Document: Competency Matrix captures the core competencies and training requirements of staff in relation to information security

Document: Communication Plan sets out the communications for the year across media and approaches 

Document: Information Security Awareness and Training Policy sets out the training and awareness and evidence was seen of the operation. 

Grievance and disciplinary policy and processes are in place. 

All policies include a statement on non conformance.",
7.3,,Awareness,,c) the implications of not conforming with the information security management system requirements.,"Incorporate information on the potential consequences of non-compliance with the ISMS requirements into training materials.
This could include disciplinary actions, legal repercussions, financial losses, and reputational damage.
Utilize case studies of real-world security incidents to illustrate the impact of non-compliance.","Employment contracts and third party contracts include coverage of information security requirements. 

Document: Competency Matrix captures the core competencies and training requirements of staff in relation to information security

Document: Communication Plan sets out the communications for the year across media and approaches 

Document: Information Security Awareness and Training Policy sets out the training and awareness and evidence was seen of the operation. 

Grievance and disciplinary policy and processes are in place. 

All policies include a statement on non conformance.",
7.4,,Communication,The organisation shall determine the need for internal and external communications relevant to the information security management system including:,"

a) on what to communicate;
b) when to communicate;
c) with whom to communicate;
d) how to communicate
","• Implementing a clear and effective communications strategy for the ISMS
• Tailoring communication to different audiences and their information needs
• Utilizing multiple channels for communication (e.g., internal and external)
• Training employees on how to communicate security information effectively
• Conducting regular communication audits to assess the effectiveness of the program
• Establishing a process for reviewing and updating communication materials","Document: Communication Plan sets out the communications for the year across media and approaches. It lays out what, when, who and how and records evidence. ",
7.5,7.5.1,Documented information General,,"The organisation’s information security management system shall include:

a) documented information required by this document; and
b) documented information determined by the organisation as being necessary for the effectiveness of the information security management system.","• Implementing a clear and structured documentation policy and control procedures
• Enforcing proper document version control and change management processes
• Utilizing secure document storage and access control mechanisms
• Regularly reviewing and updating documents to reflect changes in the ISMS
• Conducting document audits to assess compliance and identify areas for improvement
• Providing training and awareness on document management best practices",The information security system is in place and evidenced and is high level described in document: The Information Security Management System. Documents as described per each control.,
7.5,7.5.2,Creating and updating,,"When creating and updating documented information the organisation shall ensure appropriate:

a) identification and description (e.g. a title, date, author, or reference number)
b) format (e.g. language, software version, graphics) and media (e.g. paper, electronic); and 
c) review and approval for suitability and adequacy.","• Implementing clear and well-defined document identification and control policies.
• Utilizing standardized document templates and formatting guidelines.
• Enforcing rigorous review and approval processes with designated roles and responsibilities.
• Employing version control systems and audit trails to track document changes.
• Providing training and awareness on document formatting and review procedures for all relevant personnel.
• Conducting regular audits to assess compliance with document control requirements and identify areas for improvement.","Documents appropriate to the organisation and evidenced as having the mark up included

Documents are reviewed and signed of by the Management Review Team and evidenced as such.

Documents are updated in line with document: Continual Improvement Policy and the continual improvement process

There is a documents and records policy in place and evidenced and documents are seen to be in line with policy.",
7.5,7.5.3,Control of documented information,,"Documented information required by the information security management system and by this document shall be controlled to ensure:

a) it is available and suitable for use, where and when it is needed; and
b) it is adequately protected (e.g. from loss of confidentiality, improper use, or loss of integrity).
 For the control of documented information, the organisation shall address the following activities, as applicable:

c) distribution, access, retrieval and use; 
d) storage and preservation, including the preservation of legibility;
e) control of changes (e.g. version control); and
f ) retention and disposition.

Documented information of external origin, determined by the organization to be necessary for the planning and operation of the information security management system, shall be identified as appropriate, and controlled.","• Implementing clear and well defined document control policies and procedures
• Enforcing version control and change management processes to track document changes
• Utilizing secure storage and access control mechanisms to protect documents from unauthorized access
• Regularly backing up documents and testing recovery procedures
• Maintaining an organized and consistent document structure and naming conventions
• Reviewing and updating documents regularly to ensure accuracy and currency
• Providing adequate training and awareness on document control procedures for all personnel
• Conducting regular audits to assess compliance with document control requirements","Documents stored and accessible appropriate to the organisation.

Version control and document history in place.

Documents retained and disposed in line with the Data Retention Policy. 

There is a documents and records policy in place and evidenced and documents are seen to be in line with policy.

There is an information classification and handling policy in place and documents are seen to be in line with policy. 

There is a backup policy and appropriate backup in place and tested. 

There is an access control policy and access control process in place and evidenced as effective.",
8,,Operation,,,,,
8.1,,Operational planning and control,,"The organisation shall plan, implement and control the processes needed to meet requirements, and to implement the actions determined in Clause 6.2, by:
- establishing criteria for the processes;
- implementing control of the processes in accordance with the criteria.
","Segregation of duties
Access control and authorization
Change management procedures
Documentation and recordkeeping
Training and awareness
Incident management procedures
Non-compliance reporting","The information security management system and associated processes are evidenced as being in place.

Processes are documented and there is an Operations Security Manual as well as supplementary process such as how to audit, how to conduct a management review, incident management, continual improvement",
8.1,,Operational planning and control,,"
Documented information shall be available to the extent necessary to have confidence that the processes have been carried out as planned.
","Identify relevant processes: Define the information security-related processes your organization needs to operate effectively. This includes risk assessments, risk treatment, incident management, training, change management, etc.
Document the processes: Create documented procedures for each process, outlining the steps, roles, responsibilities, and controls involved.
Maintain document control: Implement a system for managing and controlling your process documents, including version control, review and approval procedures, and accessibility for authorized personnel.
Record process execution: Keep records demonstrating that the processes have been carried out as planned. ","Processes are subject to internal audit and evidenced as operating. Processes have appropriate records of operation appropriate to the process and documented in line with the specific control and subject to audit specific to the process.

Documents and version control are in place. Audit plans are kept for a minimum of 1 year in line with the retention policy.

",
8.1,,Operational planning and control,,"The organisation shall control planned changes and review the consequences of unintended changes, taking action to mitigate any adverse effects, as necessary.
","Develop a change management process: This should define the steps for proposing, reviewing, approving, implementing, and monitoring changes.
Identify key stakeholders: Include information security, IT, and relevant business units in the change process.
Conduct risk assessments: Evaluate the potential security risks associated with each proposed change.
Implement controls: Apply appropriate controls to mitigate identified risks, such as impact assessments, security testing, and rollback plans.
Document and approve changes: Maintain a record of all planned changes, including approvals and risk assessments.
Monitor and review changes: Evaluate the effectiveness of implemented controls and address any issues identified.","There is a  Change Management Policy and Change Management Process and changes were evidenced as being in line with policy and process. 

",
8.1,,Operational planning and control,,"The organisation shall ensure that and externally provided processes, products or services that are relevant to the information security management system are controlled.","Perform a risk assessment for each identified externally provided resource, considering their potential impact on the ISMS and information security objectives.

Based on the risk assessment, establish control procedures to mitigate risks associated with externally provided resources. These may include:
Contractual Agreements: Include security clauses in contracts with vendors, outlining specific security requirements, responsibilities, and incident response procedures.
Security Assessments: Regularly conduct security assessments of the vendor's infrastructure and processes to ensure they meet agreed-upon security standards.
Monitoring and Reporting: Monitor the performance of externally provided resources and require vendors to report security incidents promptly.
Data Loss Prevention (DLP): Implement controls to prevent unauthorized data transfer or leakage through externally provided resources.","There is a Third Party Supplier Security Policy

A third party register is in place with periodic review based on criticality, risk and business need.

Current in date contracts are in place for all key suppliers as well as evidence of information security. ",
8.2,,Information security risk assessment,,"The organisation shall perform information security risk assessments at planned intervals or when significant changes are proposed or occur, taking account of the criteria established in 6.1.2 a).",,"There is a risk management process in place and documented. 

Document: Risk Management Policy

Document: ISMS Risk Register 

All controls required are assessed and document in the document: Statement of Applicability

Risk assessment is performed at points of significant change on introduction of new technology and at least annually. Risk Meeting Minutes in place. ",
8.2,,,,The organisation shall retain documented information of the results of the information security risk assessments.,"Define planned intervals (e.g., annually, biannually) based on risk profile and context.
Identify ""significant changes"" triggering ad-hoc assessments (e.g., system upgrades, data breaches).
Conduct Risk Assessments:

Apply methodology aligned with 6.1.2 criteria (e.g., likelihood, impact, vulnerability).
Identify, analyze, and prioritize information security risks.
Document risk assessment findings and justifications.
Treat Identified Risks:

Develop and implement risk treatment plans (mitigation, acceptance, transfer).
Select and implement appropriate controls based on risk level.
Document risk treatment decisions and controls implemented.
Maintain Records:

Retain documented information of risk assessments, including:
Methodology and criteria used.
Identified risks, likelihood, and impact assessments.
Risk treatment plans and justifications.
Implemented controls and their effectiveness evaluations.","Annual Risk Assessments are minuted

The risk register is in place with version control and includes both closed risks and for all risks it includes the original risk score and the residual risk score. ",
8.3,,Information security risk treatment,,"The organisation shall implement the information security risk treatment plan.
The organisation shall retain documented information of the results of the information security risk treatment.","Implement the risk treatment plan:

Assign ownership and responsibility for implementing each risk treatment action.
Develop and execute implementation plans for each action, including timelines and resources.
Implement the chosen controls, including technical, organizational, and procedural measures.
Monitor and measure the effectiveness of implemented controls.
Update the risk treatment plan as needed based on changes or monitoring results.
Retain documented information of results:

Maintain records of implemented risk treatment actions.
Document evidence of control implementation (e.g., configuration settings, training records, policy documents).
Monitor and record the effectiveness of implemented controls (e.g., security incident reports, control effectiveness assessments).","There is a risk management process in place and documented. 

Document: Risk Management Policy

Document: ISMS Risk Register 

Risk treatment is recorded and managed via the risk register and records maintained for open and closed risks. 

Version control is in place. ",
8.3,,Information security risk treatment,,"The organisation shall implement the information security risk treatment plan.
The organisation shall retain documented information of the results of the information security risk treatment.","Implement selected risk treatment controls:

Implement the controls identified in the risk treatment plan (Clause 6.1.3).
Assign ownership and responsibility for implementing and monitoring controls (e.g., through policies, procedures, training).
Allocate resources and budget for implementing controls.
Establish timelines for control implementation.
Monitor and review control effectiveness:

Monitor the effectiveness of implemented controls (e.g., through regular testing, performance metrics).
Conduct periodic reviews to assess the continued effectiveness of controls and the overall risk treatment plan.
Update the risk treatment plan as needed based on monitoring and review results.
Document the results:

Maintain records of control implementation activities (e.g., training records, configuration changes).
Document monitoring and review results, including identified issues and corrective actions taken.
Record the residual risk levels after control implementation.","Risk treatment is recorded and managed via the risk register. Once a risk treatment is completed the risk is reassessed to create a residual risk score with the associated residual risk records related to the new controls, the impact, the likelihood. ",
9,,Performance evaluation,,,,,
9.1,,"Monitoring, measurement, analysis and evaluation",The organisation shall determine:,"
a) what needs to be monitored and measured, including information security processes and controls;","Conduct a risk assessment to identify critical information assets, processes, and controls.
Analyze existing monitoring and measurement activities related to information security.
Define information security objectives and key performance indicators (KPIs).
Consider relevant legal and regulatory requirements and stakeholder expectations.","Document: The Information Security Management System sets out the objectives. These are managed and reviewed at the Management Review Team meeting which is documented in the document:  Information Security Roles Assigned and Responsibilities. 

The agenda template covers the requirements of the standard and is seen to be in operation in the meeting minutes.

A program of internal audit is conducted and document: Audit Plan sets out the audit plan for the year. 

Document: Continual Improvement Policy sets out the continual improvement policy.

Document: Incident and Corrective Action Log captures and manages the corrective actions. 

The measures associated with the objectives have been determined and are reviewed at the management review team.",
9.1,,"Monitoring, measurement, analysis and evaluation",,"b) the methods for monitoring, measurement, analysis and evaluation, as applicable, to ensure
valid results. The methods selected should produce comparable and reproducible results to be considered valid;","Select appropriate monitoring tools and techniques (e.g., log analysis, intrusion detection systems, penetration testing).
Define metrics and measurement methods for each KPI.
Establish analysis and evaluation procedures to assess the collected data.
Ensure the chosen methods produce comparable and reproducible results.","Document: The Information Security Management System sets out the objectives. These are managed and reviewed at the Management Review Team meeting which is documented in the document:  Information Security Roles Assigned and Responsibilities. 

The agenda template covers the requirements of the standard and is seen to be in operation in the meeting minutes.

A program of internal audit is conducted and document: Audit Plan sets out the audit plan for the year. 

Document: Continual Improvement Policy sets out the continual improvement policy.

Document: Incident and Corrective Action Log captures and manages the corrective actions. 

The measures associated with the objectives have been determined and are reviewed at the management review team.",
9.1,,"Monitoring, measurement, analysis and evaluation",,"c) when the monitoring and measuring shall be performed;
","Schedule regular monitoring activities based on risk assessments and control effectiveness.
Consider the dynamic nature of threats and vulnerabilities when setting frequencies.
Define specific events or triggers for ad-hoc monitoring and measurement activities.","Document: The Information Security Management System sets out the objectives. These are managed and reviewed at the Management Review Team meeting which is documented in the document:  Information Security Roles Assigned and Responsibilities. 

The agenda template covers the requirements of the standard and is seen to be in operation in the meeting minutes.

A program of internal audit is conducted and document: Audit Plan sets out the audit plan for the year. 

Document: Continual Improvement Policy sets out the continual improvement policy.

Document: Incident and Corrective Action Log captures and manages the corrective actions. 

The measures associated with the objectives have been determined and are reviewed at the management review team.",
9.1,,"Monitoring, measurement, analysis and evaluation",,"d) who shall monitor and measure;
","Allocate clear roles and responsibilities for monitoring and measurement activities.
Ensure personnel are trained and competent in using monitoring tools and techniques.
Consider internal audit involvement for specific tasks.","Document: The Information Security Management System sets out the objectives. These are managed and reviewed at the Management Review Team meeting which is documented in the document:  Information Security Roles Assigned and Responsibilities. 

The agenda template covers the requirements of the standard and is seen to be in operation in the meeting minutes.

A program of internal audit is conducted and document: Audit Plan sets out the audit plan for the year. 

Document: Continual Improvement Policy sets out the continual improvement policy.

Document: Incident and Corrective Action Log captures and manages the corrective actions. 

The measures associated with the objectives have been determined and are reviewed at the management review team.",
9.1,,"Monitoring, measurement, analysis and evaluation",,"e) when the results from monitoring and measurement shall be analysed and evaluated; 
","Establish regular review cycles for analyzing and evaluating monitoring results.
Consider real-time or near-real-time analysis for critical controls or high-risk situations.
Define triggers for immediate evaluation in case of anomalies or incidents.","Document: The Information Security Management System sets out the objectives. These are managed and reviewed at the Management Review Team meeting which is documented in the document:  Information Security Roles Assigned and Responsibilities. 

The agenda template covers the requirements of the standard and is seen to be in operation in the meeting minutes.

A program of internal audit is conducted and document: Audit Plan sets out the audit plan for the year. 

Document: Continual Improvement Policy sets out the continual improvement policy.

Document: Incident and Corrective Action Log captures and manages the corrective actions. 

The measures associated with the objectives have been determined and are reviewed at the management review team.",
9.1,,"Monitoring, measurement, analysis and evaluation",,"f) who shall analyse and evaluate these results.

Documented information shall be available as evidence of the results.

","Identify personnel responsible for analyzing and evaluating monitoring data.
Ensure personnel have the necessary expertise and analytical skills.
Consider involving management review teams for strategic evaluations.","Document: The Information Security Management System sets out the objectives. These are managed and reviewed at the Management Review Team meeting which is documented in the document:  Information Security Roles Assigned and Responsibilities. 

The agenda template covers the requirements of the standard and is seen to be in operation in the meeting minutes.

A program of internal audit is conducted and document: Audit Plan sets out the audit plan for the year. 

Document: Continual Improvement Policy sets out the continual improvement policy.

Document: Incident and Corrective Action Log captures and manages the corrective actions. 

The measures associated with the objectives have been determined and are reviewed at the management review team.",
9.1,,"Monitoring, measurement, analysis and evaluation",,The organisation shall evaluate the information security performance and the effectiveness of the information security management system.,"Maintain records of all monitoring data, analysis results, and evaluation findings.
Ensure documentation is accurate, complete, and readily available for audits.","Document: The Information Security Management System sets out the objectives. These are managed and reviewed at the Management Review Team meeting which is documented in the document:  Information Security Roles Assigned and Responsibilities. 

The agenda template covers the requirements of the standard and is seen to be in operation in the meeting minutes.

A program of internal audit is conducted and document: Audit Plan sets out the audit plan for the year. 

Document: Continual Improvement Policy sets out the continual improvement policy.

Document: Incident and Corrective Action Log captures and manages the corrective actions. 

The measures associated with the objectives have been determined and are reviewed at the management review team.",
9.2,,Internal Audit,,,,,
9.2,9.2.1,Internal Audit General,,"The organisation shall conduct internal audits at planned intervals to provide information on whether the information security management system:

a) conforms to
 1) the organisation’s own requirements for its information security management system; and
 2) the requirements of this document;
","Define the organization's specific information security requirements (e.g., additional controls, policies, procedures beyond ISO 27001).
Develop an internal audit program with scope and criteria aligned to these requirements.
Conduct internal audits covering all defined requirements.
Document and report audit findings, including conformance assessments.","A program of internal audit is conducted and document: Audit Plan sets out the audit plan for the year. 

Document: Continual Improvement Policy and Continual improvement process in place.

 Document: Incident and Corrective Action Log captures and manages the corrective actions

Audits report to management review team as part of standard agenda,. ",
9.2,9.2.1,Internal Audit General,,b) is effectively implemented and maintained.,"Design internal audits to assess the effectiveness of implemented controls and processes.
Evaluate whether controls are operating as intended and achieving their objectives.
Assess the completeness and accuracy of documented information (e.g., policies, procedures).
Identify areas for improvement and potential nonconformities.
Document and report audit findings, including effectiveness assessments.","A program of internal audit is conducted and document: Audit Plan sets out the audit plan for the year. 

Document: Continual Improvement Policy and Continual improvement process in place.

 Document: Incident and Corrective Action Log captures and manages the corrective actions

Audits report to management review team as part of standard agenda,. ",
9.2,9.2.2,Internal audit programme,,"The organization shall plan, establish, implement and maintain an audit programme(s), including the frequency, methods, responsibilities, planning requirements and reporting.
When establishing the internal audit  programme(s), the organization shall consider the importance of the processes concerned and the results of previous audits.",," A program of internal audit is conducted and document: Audit Plan sets out the audit plan for the year. 

The audit plan is seen to be based on the needs of the business and the results of previous audits. ",
9.2,9.2.2,Internal audit programme,The organisation shall ,"a) define the audit criteria and scope for each audit;
","Identify internal audit objectives aligned with ISMS goals and risk management.
Select relevant ISMS controls and processes for each audit based on importance, risk, and previous findings.
Develop audit criteria for each selected control, referencing relevant standards, policies, and procedures.
Define the audit scope, including departments, systems, and activities to be covered.",The audit plan and each audit sets out the controls that are being audited and the scope of the audit. ,
9.2,9.2.2,Internal audit programme,,"b) select auditors and conduct audits that ensure objectivity and the impartiality of the audit process;
","Select internal or external auditors with competence, objectivity, and impartiality regarding the audited processes.
Train auditors on ISMS, audit methodology, and relevant regulations.
Develop and implement an audit schedule based on risk and program objectives.
Conduct audits systematically, collecting evidence and documenting findings.", Audits are evidenced as being conducted by people that are independent of the areas being audited. ,
9.2,9.2.2,Internal audit programme,,"c ) ensure that the results of the audits are reported to relevant management; 
","Prepare audit reports summarizing findings, conclusions, and recommendations.
Communicate audit reports to relevant management for review and action.
Track and monitor the implementation of corrective actions based on audit findings.",Audits are reported to the management review team as part of standard agenda and meeting minutes are evidenced for operation.  ,
9.2,9.2.2,Internal audit programme,,Documented information shall be available as evidence of the implementation of the audit programme(s)and the audit results.,"Audit plans: Develop individual audit plans for each scheduled audit, outlining the specific objectives, scope, methodology, and resources required.
Audit reports: Prepare detailed reports for each completed audit, documenting the findings, observations, recommendations, and conclusions.
Nonconformity records: Record all identified nonconformities with relevant ISO 27001 requirements or organizational policies.
Corrective action records: Document the corrective actions planned and implemented for each identified nonconformity, including responsible parties, deadlines, and completion status.
Management review records: Include information on internal audit results and corrective actions in management review meetings, demonstrating their consideration and effectiveness.","Audit plan is in place and evidence and the existence of previous audits was reviewed and seen to be in place. 

Audit results are kept for a minimum of 1 year in line with policy. ",
9.3,,Management review,,,,,
9.3,9.3.1,General,,"Top management shall review the organization's information security management system at planned intervals to ensure its continuing suitability, adequacy and effectiveness.","Schedule regular management reviews: Conduct reviews at least annually, with additional reviews as needed based on changes or significant events.
Define review agenda and participants: Include mandatory topics like risk assessments, performance metrics, nonconformities, and external context changes. Invite relevant stakeholders like senior management, ISMS team, and external auditors (optional).
Gather input for review: Collect data on ISMS performance through monitoring, audit reports, incident reports, and feedback mechanisms.
Conduct the review: Discuss key topics, analyze trends, identify improvement opportunities, and make decisions on resource allocation and actions.
Document review outcomes: Capture key discussion points, decisions taken, and action items with assigned responsibilities and deadlines.
Implement action items:","The Management Review Team is in place and operational and documented in the document:  Information Security Roles Assigned and Responsibilities.

The management review team meets at least quarterly and the exact schedule is located in the communication plan.


",
